"cand_NILme","age","gender","cat","Party_cd","nomi_status","candi_des","Ward_no","votes","FiNIL_lock","mStatus","Education","OccuPation","","","","","","","","","","","","","","","","","","","","",""
"rahP.G..t ali","37","M","OBC","89","Y","P","10","9","Y","M ","S ","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"dileeP","25","M","SC","89","W","P","32","NULL","NULL","U","G  ","UNEMPLOYED","","","","","","","","","","","","","","","","","","","","",""
"SMT. USHA PRAJAPATI","28","F","OBC","2","Y","P","14","99","Y","M ","NIL ","NIL ","","","","","","","","","","","","","","","","","","","","",""
"SURESH.S.INGH KUSHWAH","50","M","OBC","10","Y","P","13","157","Y","M ","H.S.","FARMER","","","","","","","","","","","","","","","","","","","","",""
"RAJ RANI GARG","56","F","UR","89","Y","P","1","131","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SAHODRA RATHORE ","50","F","OBC","89","Y","P","12","354","Y","M ","I.L","FARMER","","","","","","","","","","","","","","","","","","","","",""
"CHANDRAPRABHA","37","F","SC","5","Y","P","5","305","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"NEELAM P.G..RKAM","22","F","ST","2","W","P","19","NULL","NULL","M ","H.S. ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RamkuP.G..ri Soni","42","F","OBC","5","Y","P","2","157","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"VAHIDA","44","F","OBC","5","Y","P","23","719","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ADVOCATERam sujan VerP.G..","45","M","OBC","1","Y","P","11","23","Y","M "," LLB","ADVOCATE","","","","","","","","","","","","","","","","","","","","",""
"FOOLVATI RAIKWAR","40","F","OBC","2","W","P","26","NULL","NULL","U","S ","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Mohan kalu mujalde","50","M","ST","5","Y","P","6","248","Y","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Shailendra kuP.G..r Sahu","31","M","OBC","2","Y","P","27","584","Y","M ","S","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"JAGDISH PRASAD GHOSHI","43","M","OBC","2","W","P","6","NULL","NULL","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"KalaGi Kushwah","41","F","OBC","2","Y","P","7","254","Y","M ","L ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..HESH CHANDEL","29","M","SC","89","Y","P","23","220","Y","M ","I.L","NIL","","","","","","","","","","","","","","","","","","","","",""
